time(seconds),# activatory proteins,# repressory proteins,# Q proteins,# Qc proteins
30180,99.37264822,35.74062506,4.20E-37,100.5678977
30210,97.99057771,35.0617607,2.17E-37,100.5672614
30240,96.63618927,34.39731764,1.12E-37,100.5683408
30270,95.30907732,33.74693121,5.77E-38,100.5702621
30300,94.00803087,33.11031595,2.98E-38,100.5694951
30330,92.73006245,32.48719187,1.54E-38,100.5691148
30360,91.47800911,31.87724978,7.92E-39,100.5671005
30390,90.24706716,31.28022352,4.09E-39,100.5634935
30420,89.03840082,30.69583085,2.11E-39,100.5617766
30450,87.84884652,30.12380941,1.09E-39,100.5588728
30480,86.68155548,29.5638847,5.61E-40,100.552746
30510,85.5309171,29.01581256,2.90E-40,100.5405243
30540,84.39731994,28.47933038,1.49E-40,100.5279803
30570,83.28446371,27.95419435,7.71E-41,100.517803
30600,82.18613849,27.44016193,3.98E-41,100.5085588
30630,81.10248134,26.93682621,2.05E-41,100.5068534
30660,80.03404765,26.44431285,1.06E-41,100.5071826
30690,78.98030018,25.962293,5.46E-42,100.5070286
30720,77.94030201,25.49043168,2.82E-42,100.507727
30750,76.91336307,25.02858752,1.45E-42,100.5079226
30780,75.89774235,24.5764771,7.50E-43,100.5078182
30810,74.89321767,24.13394461,3.87E-43,100.5075811
30840,73.9017687,23.70078286,2.00E-43,100.5083965
30870,72.92172455,23.27680556,1.03E-43,100.5088429
30900,71.95202448,22.86181318,5.32E-44,100.5102821
30930,70.99035151,22.45563649,2.74E-44,100.5103416
30960,70.03777565,22.05808897,1.42E-44,100.5120698
30990,69.09467835,21.66900156,7.30E-45,100.5140629
31020,68.16086429,21.28820038,3.77E-45,100.5147492
31050,67.23522928,20.9155179,1.94E-45,100.5154531
31080,66.31644739,20.5506402,1.00E-45,100.5154474
31110,65.40597867,20.19374635,5.17E-46,100.5147035
31140,64.50285545,19.84452802,2.67E-46,100.5145882
31170,63.60670694,19.50281855,1.38E-46,100.5144812
31200,62.71708525,19.16844343,7.10E-47,100.5161786
